RecipeID,recipies,RequiredTime,Ingredients,Description
45,Chhana Chuddi,30,"1/2 cup kala chana (brown chick peas)
2 small onions
8 to 10 cloves garlic (lehsun)
2 green chillies
2 tsp garam masala
1 tsp chilli powder
salt to taste
1 1/2 tbsp oil

For Aloo poha
250 gms beaten rice (poha)
1 small potato
1 small onion
1 green chilli
coriander (dhania) to sprinkle
salt to taste
oil
a pinch of sugar
1/2 lemon

For serving
ready made chiwda
sev
onions
coriander (dhania)
onion
1 tomato
3 small green brinjal (baingan / eggplant)
8 to 10 cloves garlic (lehsun)
2 green chillies
1 inch of garlic (lehsun)
salt to taste
meat masala",A filling Maharashtrian dish made with thick channa gravy and aloo poha.
46,Chilli Garlic Chutney,35,"For Chilli Garlic Chutney
10 whole dry kashmiri red chillies
10 to 12 garlic (lehsun) cloves
salt to taste","chilli garlic chutney | lahsun chutney | chilli garlic chutney for chaats | red garlic chutney | with 15 amazing images

Quick and easy though it is, the Chilli Garlic Chutney has a vibrant flavour that makes its presence felt in any recipe!

Just a few ingredients and a few minutes are all it takes to make this dynamic chilli garlic chutney, which combines the fieriness of dry Kashmiri red chillies and the pungency of garlic.

Use the red garlic chutney to make delicious chaat recipes like bhel puri, sev puri and ragda patties.

Chilli garlic chutney is good for heart and extremely healthy to have. Zero sugar. Garlic does lower cholesterol and thin the blood, which helps to prevent stroke, high blood pressure and heart disease.

You can store red garlic chutney in an airtight container in the fridge for at least a week, and use it to make delicious snacks like budijaw (Burmese doodhi snack) and oats spinach pancake.

Enjoy how to make chilli garlic chutney | lahsun chutney | chilli garlic chutney for chaats | red garlic chutney with detailed step by step photos and video below."
47,"Chinese Bhel, Mumbai Roadside Snack",15,"For Chinese Bhel
2 cups fried noodles
1 cup shredded cabbage
1/2 cup chopped spring onions whites and greens
1 1/2 tbsp schezwan sauce
2 tsp red chilli sauce
1/2 tbsp tomato ketchup
1/2 tsp soy sauce
1/2 tsp vinegar
salt to taste

For The Garnish
2 tbsp finely chopped spring onion greens","Chinese bhel recipe | Mumbai roadside Chinese bhel | with 9 amazing images.

Chinese bhel is a very popular roadside snack in Mumbai. Mumbai roadside Chinese bhel is made of fried noodles, perked up with crunchy veggies like cabbage and spring onions and splashes of tongue-tickling Oriental sauces.

What happens when peppy Chinese flavours fuse with the all-time favourite bhel format? Well, you get Mumbai roadside Chinese bhel, so enjoy!

The fried noodles is available readymade, or can be made at home. Once you have that ready, the rest is just chop and toss as this snack requires no cooking. Even kids can make Chinese bhel themselves and enjoy, with reduced spice levels.

You can also try your hand at making other Mumbai roadside recipes like Mysore Masala Dosa or Roadside Hare Chane Ki Chaat.

Serve Chinese bhel immediately before it turns soggy. Ensure you have all the ingredients ready and mix just before serving.

Learn to make Chinese bhel recipe | Mumbai roadside Chinese bhel | with step by step photos below."
48,Chirote,40,"3/4 cup plain flour (maida)
1/4 cup semolina (rava)
1 tbsp hot ghee
a pinch of salt
1/4 cup milk
3 to 4 tbsp ghee , melted
2 to 3 tbsp cornflour
ghee or oil for deep frying
1 cup sugar
3 to 4 tbsp water",A sweet crispy farsaan for kids who want some snacks after pataka party.
49,Chocolate Modak,20,"1/2 cup chopped dark chocolate
3 tbsp condensed milk
1 cup crushed digestive marie biscuits
1/4 cup milk

To Garnish
2 tbsp grated chocolate",Western inspired sweet on indian traditional festival.
50,Chole Tikki Chaat,32,"For The Chole
2 cups soaked and cooked kabuli chana (white chick peas)
1 tbsp oil
1/2 cup finely chopped onions
1 tbsp coriander-cumin seeds (dhania-jeera) powder
2 tsp chilli powder
1 tsp dried mango powder (amchur)
1/4 tsp garam masala
2 tbsp tomato ketchup
salt and to taste

For The Potato and Green Pea Tikkis
1 cup boiled and peeled potato cubes
1/2 cup boiled green peas
2 tbsp oil
1 tsp cumin seeds (jeera)
1/2 tsp nigella seeds (kalonji)
2 tsp finely chopped green chillies
1 tbsp finely chopped coriander (dhania)
1 tbsp cornflour
salt to taste
1 tsp dried mango powder (amchur)
oil for greasing and cooking

Other Ingredients For Chole Tikki Chaat
8 tbsp whisked fresh curd (dahi)
6 tsp green chutney
4 tbsp sweet chutney
8 tsp nylon sev","chole tikki chaat recipe | aloo tikki chole | Punjabi chole tikki chaat | Indian street food chole tikki chaat | with 35 amazing images.

chole tikki chaat also called aloo tikki chole is a popular Indian street food. Here, we show you how to make the potato and peas tikkis for Punjabi chole tikki chaat perked up with flavourful nigella seeds and spices, and the recipe for chole too. Also pay special attention to arranging this preparation, with curd, chutneys and fresh, crispy sev!

A lip-smacking chaat that is loved all over India, and now globally too, the chole tikki chaat is most enjoyed at roadside stalls, but is definitely more satisfying when you make it at home for your family or for a party.

Notes and tips on aloo tikki chole. 1. To make the Chole for the Chole Tikki Chaat, we first have to soak the kabuli chana. For that, wash the kabuli chana thoroughly under running water. Once washed, place them in a deep bowl. Cover them with enough water. We have taken approximately � cup of chickpeas as they will double on size once they are soaked and cooked. Cover the bowl with a plate and keep aside to soak for at least 8 hours or overnight. This is a very important step as this not only helps in cooking the chickpeas faster but also helps in cooking them evenly. 2. If you want the chickpeas to go soft, you can add a pinch of baking soda while pressure cooking so that the chickpeas cook properly. But remember you do not want the chickpeas to go mushy. 3. Wait for the pressure to drop naturally before opening it. If you open it in a haste, the chickpeas will not have cooked properly. 4. Make sure that your pan is really hot so that you get a nice crust on your tikkis.

Learn to make chole tikki chaat recipe | aloo tikki chole | Punjabi chole tikki chaat | Indian street food chole tikki chaat | with detailed step by step photos and video below."
51,"Chutney Cheese Toast Sandwich , Mumbai Roadside Recipe",25,"8 bread slices
4 cheese slices
8 tsp green chutney
4 tsp butter for spreading
1 tsp butter for brushing
2 tsp butter for topping

For Serving
tomato ketchup","The Chutney Cheese Toast Sandwich is a buttery and tasty toast that is much-loved by Mumbaiites. It is sold all across the city by roadside food vendors, and is surprisingly easy to replicate at home!

The Chutney Cheese Toast as the name suggests is buttered bread, lined with chutney, sandwiched with cheese and toasted till the cheese melts and mingles with the chutney.

You can use cheese slices or grated cheese to make this recipe, but just ensure that you are generous with the butter to get the authentic texture and taste.

You can also try other Mumbai roadside recipes like the Samosa Sandwich and Mysore Masala Dosa ."
52,Cluster Beans Chutney,30,"10 to 12 cluster beans (gavarfali)
2 small green chillies
1 tbsp roasted powdered peanuts
salt to taste
1 tsp lemon juice
2 tsp chopped coriander (dhania)
2 tsp oil

For The Tempering
2 tsp oil
1/4 tsp mustard seeds ( rai / sarson)
a pinch asafoetida (hing)",This is a healthy and tasty chutney. It is also fiberous and helps in weight loss.
53,Coconut and Rava Ladoo ( Laddu),41,"For Coconut and Rava Ladoo
2 cups freshly grated coconut
1 cup semolina (rava / sooji)
1 1/2 cups sugar
1/2 cup melted ghee
1 tbsp chopped cashewnuts (kaju)
1 tbsp raisins (kismis)
a pinch saffron (kesar) strands
1/2 tsp cardamom (elaichi) powder","rava coconut ladoo recipe | coconut rava ladoo recipe | sooji laddu | with 21 amazing images.

With the chewy texture of coconut, the rich flavour of roasted rava, the crunch of nuts and dried fruits, and the intense aroma of spices, this rava coconut ladoo is a mouthful of delight that nobody can resist! This coconut rava ladoo is made with fresh coconut.

Although the procedure of rava coconut ladoo recipe is a little long, requiring a spot of cooking and a period of cooling, the method is actually easy and foolproof if you follow the instructions properly, so you will find it completely worth the effort and time spent.

To make coconut rava ladoo, dry roast the semolina.This will remove the raw taste and also if the semolina is not roasted the ladoos will be sticky. Next, add the coconut and mix well. Keep aside. Combine the sugar and 1 cup of water in a sauce pan, mix well and cook on a medium flame for approx. 5 to 6 minutes, while stirring occasionally. Keep this sugar syrup aside to cool slightly. Heat the ghee in a non-stick kadhai and add the semolina-coconut mixture, cashewnuts and raisins, mix well, while stirring continuously. Add the sugar syrup, saffron would give an amazing colour to the ladoo and cardamom powder for aroma and taste , while stirring continuously.

Transfer the mixture into a 10"" (250 mm.) diameter thali and spread it evenly using a flat ladle. Keep aside to cool for 2 hours. Once cooled, scrape out the mixture from the thali and again mix well. Divide dough into 26 equal portions and shape each portion in between your palms into a round ladoo. Serve or store the coconut and rava ladoo in an air-tight container.

The best part is that these rava coconut ladoo will be thoroughly enjoyed by kids and adults as well. You can also pack this sweet, a traditional Indian favourite for your kids tiffin and yours too.

Maharashtrians commonly make this rava coconut ladoo for their daughters who are pregnant.

If you enjoy enjoy rava coconut ladoo, then try our other ladoo recipes like Besan Laddoo, Gaund Ke Ladoo and Churma Ladoo.

Enjoy rava coconut ladoo recipe | coconut rava ladoo recipe | sooji laddu | with detailed step by step photos and video below."
54,Coconut Chutney ( Desi Khana),25,"For Coconut Chutney
1 cup grated coconut
1/4 cup roughly chopped coriander (dhania)
3 tbsp roasted chana dal (daria)
2 green chillies , roughly chopped
8 curry leaves (kadi patta)
salt to taste
1 tbsp oil
1/2 tsp mustard seeds ( rai / sarson)
1/2 tsp urad dal (split black lentils)
a pinch of asafoetida (hing)
1 whole dry kashmiri red chilli , broken into pieces","coconut chutney recipe | coconut chutney for idli | coconut chutney for dosa | nariyal chutney | with 16 amazing images.

This super popular coconut chutney recipe is made by grinding grated coconut, coriander, roasted chana dal, green chillies, kadi patta with some water. The nariyal chutney is then topped with a tasty tempering.

Coconut chutney is to South Indians what green and sweet chutneys are to the North. It is served almost every day as a part of the breakfast spread, and sometimes at lunch and dinner times too, if there is any kind of snack being served.

It is best to serve the coconut chutney within a few hours of making it. The good news it stays good for 2 days if packed in a air tight container and kept in the fridge.

Serve the South-Indian coconut chutney with snacks like uttapam, idlis, dosas and vadas.

Enjoy coconut chutney recipe | coconut chutney for idli | coconut chutney for dosa | nariyal chutney with detailed step by step photos and video."
55,Coconut Chutney ( Mumbai Roadside Recipes),15,"3 tbsp freshly grated coconut
2 tbsp roasted chana dal (daria)
2 small green chillies , roughly chopped
1 tsp chopped ginger (adrak)
2 tbsp chopped coriander (dhania)
6 to 7 curry leaves (kadi patta)
salt to taste
2 tsp oil
1/2 tsp mustard seeds ( rai / sarson)
1/2 tsp urad dal (split black lentils)
3 to 4 curry leaves (kadi patta)
1 small whole dry kashmiri red chilli , broken into pieces
1/4 tsp asafoetida (hing)",An all time favourite accompaniment to be served with south indian delicacy snacks.
56,"Coffee, Indian Style Instant Coffee",5,"For Coffee
4 tsp instant coffee powder
8 tsp sugar
2 cups hot milk","coffee recipe | Indian style instant coffee | easy homemade coffee | how to make milk coffee |

Indian style instant coffee is a daily morning cuppa in many Indian households. Learn how to make milk coffee.

To make instant coffee, combine 1 tsp instant coffee powder, 2 tsp sugar and 1 tbsp hot water in a serving cup and mix very well for 2 to 3 minutes or till the sugar dissolves. Pour � cup of hot milk over it and mix gently. Repeat steps 1 and 2 to make 3 more servings. Serve immediately.

Nothing like a cup of instant coffee Indian style to jazz up your day! Instant Coffee tastes best when first made into a decoction with sugar and then mixed with milk.

Easy homemade coffee is an instant energy booster for millions of people worldwide. While everyone has their own proportion of milk to water and sugar, here�s how to make the perfect cuppa...

Milk coffee in India is available not only in restaurants but also sold by roadside vendors in small cups at a very reasonable price. Do give a try to this simple caf� style instant coffee.

Tips for instant coffee. 1. Buy instant coffee powder and not coffee beans for this recipe. 2. If you like your coffee less sweet, then add only 1 tsp of sugar per serving. 3. Serve it with biscuits at tea-time.

Enjoy coffee recipe | Indian style instant coffee | easy homemade coffee | how to make milk coffee | with video below."
57,Coriander Chutney,15,"1 cup coriander (dhania)
1/4 cup peanuts
1/4 tsp coriander (dhania) powder
1/4 tsp cumin seeds (jeera)
salt to taste
1/2 tsp chilli powder",This chutney is very tasty and simple.
58,"Crispy Potato Bhajias, Aloo Bhajiya Recipe",15,"For Crispy Potato Bhajias
1 cup peeled and thinly grated potatoes
1 tsp finely chopped green chillies
1 tbsp finely chopped coriander (dhania)
salt to taste
oil for deep-frying

For Serving With Crispy Potato Bhajias
green chutney
tomato ketchup","aloo bhajia recipe | quick potato recipe | crispy potato bhajia | Indian bhajia with potato |

aloo bhajia is a delight for the Indian diner. It is a flavoursome delicacy which can be enjoyed at any time of the day. Learn how to make crispy potato bhajia.

Crispy bhajias made with grated potatoes, perked up with green chillies and coriander! Ensure to grate the potatoes thinly, so they bind well. This quick potato recipe makes a good snack treat for kids who come hungry after school.

To make aloo bhajia, keep the oil to heat in a non-stick kadhai, in the mean while combine all the ingredients in a deep bowl and mix well. Once the oil is hot enough, drop spoonfuls of the mixture in the oil and deep-fry till they turn crisp and golden brown in colour from all the sides. Drain on an absorbent paper. Repeat step 2 to make more bhajias. Serve immediately with green chutney and tomato ketchup.

It is interesting to note that this Indian bhajia with potato is held together purely by the starch in the grated potatoes and does not use any other binder like boiled potatoes, plain flour or cornflour. This makes it all the more crispier. Indeed, a perfect snack to have garma garam with a hot cup of Masala Chai!

With no use of any flour for binding, this Indian bhajia with potato also qualifies as a fasting or vrat recipe. You can enjoy them during Janmashtami, Navratri and even during Sankrant and Holi. Serve with green chutney and not tomato ketchup then.

Tips for aloo bhajia. There are some things you need to take care of to make sure the bhajias don�t disintegrate. 1. Firstly, you need to squeeze out any water from the grated potatoes before including the other ingredients. 2. Also, you need to add the salt only at the very end, just before you deep-fry the bhajias because the mixture will start letting out water after you add the salt. So, to save time, keep the oil on the stove and start preparing the other ingredients, so that by the time oil is hot enough, the remaining ingredients will be ready. You can add salt and start frying the bhajias.

Enjoy aloo bhajia recipe | quick potato recipe | crispy potato bhajia | Indian bhajia with potato | with step by step photos and video below."
59,Crispy Sabudana Vada,30,"1/4 cup sago (sabudana) soaked in little water for 2 hours
1 cup saav
1 cup coarsely powdered roasted peanuts
1 cup finely chopped coriander (dhania)
2 tsp cumin seeds (jeera)
1 tbsp oil
3 tsp ginger-green chilli paste
a few curry leaves (kadi patta)
salt to taste
oil for frying","A good substitute of potato, those restricted to eat potatoes can try this. I am sure you can't just stop yourself from eating just one."
60,"Crsipy Potato Topped with Peanut Curd Chutney, Vrat, Upvas",30,"15 boiled thick potato slices
oil for deep-frying
cumin seeds (jeera) powder for sprinkling

For The Peanut Curd Chutney
1/4 cup raw peanuts
1/4 tsp roughly chopped ginger (adrak)
1 1/2 tsp roughly chopped green chillies
a pinch of sugar
rock salt (sendha namak) to taste
3 tbsp curds (dahi)","Here is a fabulous snack that adds an element of fun to your upvas . Crispy, deep-fried potato slices are served with a fabulous chutney, which combines the crunch and earthy flavour of peanuts with the tang of curds and the spiciness of ginger and green chillies.


You can serve the Crispy Potato Topped with Peanut Curd Chutney as a starter, or combine it with other faral snacks like Kand Aloo Pakoda and Faraali Pattice , to make a snack platter. To get the chutney right, make sure you grind it only coarsely and not too smooth."
61,Cucumber poha,0,"thin beaten rice(poha) 3 cups
finely chopped green chillies 4 to 6
grated cucumber one cup or slightly more
grated coconut two tabel spoon
finely chopped corienda one table spoon
lime juice to taste
salt to taste
little sugar or sugar free to taste","Too much cucumber makes this soggy so try to drain the excess cucumber juice and then mix.this is a healthy snack if you want you can add some bean sprouts, and chopped onions too!!"
62,Curry Leaves Chutney,5,"1 cup curry leaves (kadi patta)
1/4 cup urad dal (split black lentils)
1/4 cup chana dal (split bengal gram)
1 tbsp coriander (dhania) seeds
2 tsp cumin seeds (jeera)
salt to taste
1 tbsp sesame seeds (til)
1 tsp chilli powder
1/4 tsp turmeric powder (haldi)
a pinch asafoetida (hing)
1 tbsp dessicated coconut","Curry leaves are a good source of vitamin a. Curry leaves chutney is very tasty,even kids can enjoy with parathas and sandwiches."
63,Dabeli ( Mumbai Roadside Recipes ),30,"For The Dabeli Stuffing
1 1/2 tbsp dabeli masala , readily available
2 tbsp sweet chutney
1 tbsp oil
1 1/4 cups boiled , peeled and mashed potatoes
salt to taste
2 tbsp finely chopped coriander (dhania)
2 tbsp grated coconut
2 tbsp fresh pomegranate (anar)

Other Ingredients For Dabeli
4 dabeli pavs
4 tsp lehsun ki chutney
2 tbsp sweet chutney
4 tsp finely chopped onions
4 tsp masala peanuts , readily available
4 tsp nylon sev
2 tbsp butter for cooking

For The Garnish
2 tbsp nylon sev","dabeli recipe | Mumbai roadside dabeli | kutchii dabeli | double roti | with 15 amazing images.

Dabeli is a famous Mumbai roadside food and Gujarat street food. In fact, Dabeli originated from Kutch, Gujarat and hence also known as kutchii dabeli or double roti. Mumbai roadside dabeli is made with Indian bread also known as ladi pav which is stuffed with potato mixture which can be either sweet, mild or spicy depending on your preference.

The term ""Dabeli"" in Gujarati stands for pressed which resembles to the potato mixture being stuffed in the pav and then the pav cooked on a tava. Dabeli is very famous snack in Gujarati households and is also tummy filling, the best part about this delicious snack is that it is really very easy and quick to make.

To make dabeli, you need to make the potato mixture first. Combine the dabeli masala, sweet chutney and a little water (approx. 1 tbsp) in a bowl and mix well. In a non stick pan, heat the oil, add the prepared dabeli masala mixture, mix well and cook on a medium flame for 1 minute, while stirring continuously. Add the mashed potatoes, salt and a little water, mix well and cook on a medium flame for another 2 to 3 minutes, while stirring continuously. Remove from the flame, transfer it to a plate and press well with the back of a spoon. Sprinkle the coriander, coconut and pomegranate on top. Keep aside. Our mixture for dabeli is ready!

To proceed, take a pav slit it into half. Apply 1 tsp of
geeli lehsun ki chutney and 1/2 tbsp of sweet chutney evenly on the inner sides of the pav. Stuff with 2 tbsp of the stuffing and top with 1 tsp of onions, 1 tsp of masala peanuts and 1 tsp of sev. Repeat with the remaining ingredients to make 3 more dabelis. Just before serving,cook each dabeli on a hot tava (griddle) for a minute using a little butter.

Also do try our other popular Mumbai Street Foood recipes like Sev Puri, Masala Omelette Pav, Toasted Samosa Sandwich, Schezuan Chopsuey Dosa and many more.

Enjoy dabeli recipe | Mumbai roadside dabeli | kutchii dabeli | double roti with detailed step by step photos and video below."
64,"Dahi Batata Puri, Mumbai Dahi Puri Chaat",25,"For Dahi Batata Puri
24 kgs puris
1 cup boiled , peeled and chopped potatoes
1/2 cup teekha pudina chutney
1 cup meetha chutney
3 cups chilled fresh curd (dahi) , beaten
chilli powder for sprinkling
roasted cumin seeds (jeera) powder for sprinkling
black salt (sanchal) for sprinkling
8 tbsp nylon sev

For The Garnish
4 tsp finely chopped coriander (dhania)","dahi batata puri recipe | Mumbai roadstyle dahi puri | dahi puri chaat | with amazing 10 images.

dahi batata puri is a famous Mumbai roadstyle dahi batata puri also known as dahi puri chaat.

dahi batata puri, an arrangement of tiny, crisp puris amidst a m�lange of potatoes, ragda and a topping of miscellaneous chutneys and beaten curds! a cool dahi puri chaat treat that you might prefer over regular bhel or fiery pani puri on a hot summer�s day! This road side chaat is supremely flavourful.

Dahi puri recipe is a popular Mumbai Street Foods . Made from deep fried puris which are stuffed with potatoes, chutneys and then topped with curds. That's just the first part of making dahi batata puri street food. We further top it with chilli powder, cumin seed powder and then some sev to make the famous dahi puri.

After a round of spicy Pani Puris, eating Mumbai road style dahi puri is the perfect way to soothe your palate. ""Dahi batata puri"" are a favourite with children as well as with adults who cannot handle the fiery pani puri.

I show you how to make dahi puri at home as this is far healthier than having it on the street. The quality of ingredients used are of much higher quality and this recipe is not very complicated if you have deep fried puris and chutney on hand. Here we have stuffed the puri only with potatoes but you can add boiled sprouts or boondi if you wish to. Also, if you are a jain don�t be disheartened as you can make the similar recipe by swapping potatoes with ragda or boondi.

What makes a dahi batata puri truly divine is obviously the humble curds which are made daily in every Indian household. The curds have to be fresh and chilled and most importantly of the right consistency i.e. neither too thick nor too thin.

Save the semi puffed (half puffed) or damaged puris which cannot be used for serving pani puri to make dahi batata puri. Also, make sure to serve the dahi batata puri as soon as it is assembled or it will turn soggy.

Check out our easy to prepare collection of chaat recipes which has recipes like Khasta Kachori Chaat, Aloo Chaat, Chole Tikki Chaat, Dahi Ragda Chaat and many more.

Learn to make dahi batata puri recipe | Mumbai roadstyle dahi puri | dahi puri chaat | with detailed step by step photos and video below."
65,Dahi Kachori ( Mumbai Roadside Recipes ),4,"For The Dough
2 cups plain flour (maida)
salt to taste
1/4 cup melted ghee

For The Filling
1/2 cup yellow moong dal (split yellow gram) ,
soaked for 2 to 3 hours and drained
3 tbsp oil
1 tsp cumin seeds (jeera)
1/4 tsp asafoetida (hing)
1 tsp ginger-green chilli paste
1 tsp chilli powder
1 tsp garam masala
salt to taste
1 tbsp dried mango powder (amchur)
2 tbsp besan (bengal gram flour)

Other Ingredients For Dahi Kachori
oil for deep-frying

For Serving
12 tbsp boiled sprouted moong (whole green gram)
3 cups whisked curds (dahi)
6 tbsp khajur ki chutney
3 tbsp teekha pudina chutney
6 tbsp sev
roasted cumin seeds (jeera) powder for sprinkling
6 tsp finely chopped coriander (dhania)","dahi kachori recipe | khasta kachori chaat | moong dal raj kachori chaat | raj kachori recipe | raj kachori chaat | with amazing 50 images.

Dahi kachori is a very famous and loved chaat. So popular that dahi kachori chaat is easily available as Mumbai Street Food. Raj kachori is king of all the kachori's and is famously sold everywhere in India.

This filling moong dal raj kachori chaat has found its own place in the good old streets of Mumbai! it�s a challenge to deftly bite into this king-sized snack. However well you do it, you will have a spot of chutney ooze out onto your face� be a sport, it is part of the roadside eating experience. This is my personal and favourite chaat recipe. I prefer making khasta kachori chaat on Sundays as I don't fall short of time and it is enjoyed by all the family members.

A perfect raj kachori is one that is puffed up and flaky outside but hollow inside as the filling sticks to the crust. This flaky kachori is filled with a delectable moong dal mixture and deep fried. Here is how to make such an ideal khasta kachori, right in your own kitchen. With a flavourful moong dal mixture as filling, this dahi kachori chaat is deep-fried patiently on a slow flame to achieve that deliciously crisp crust and hollow, well-cooked interior.

The method to make raj kachori is quite long yet belive me it is worth every effort! You can serve it as an evening snack, mid-meal or even as a side dish with the meal. dahi kachori chaat is a perfect recipe for someone who loves fried food.

To speed up the process of making raj kachori, prepare the chutneys in advance. I usually make them a day prior and refrigerate them.

Different regions have different pronunciation for the word kachori. Many calls it kachaudi, kachauri or kachodi. It�s a challenge to deftly bite into this king-sized khasta kachori chaat.

Remember to fry the kachori on a very slow flame so that the crust is crisp and gets cooked on the inside. The Kachori can be kept fresh and stored in an air-tight containers for 2 to 3 days. Just before serving, warm up the kachoris in an oven for about 7 to 10 minutes, fill them with moong, curds and chutneys and serve!

Enjoy dahi kachori recipe | khasta kachori chaat | moong dal raj kachori chaat | raj kachori recipe | raj kachori chaat | with detailed step by step recipe photos below."
66,Dahi Sabudana,5,"2 cups soaked sago (sabudana)
1/2 cup roasted and grounded peanuts
1 cup fresh curds (dahi)
3 to 4 chopped green chillies
3 tbsp chopped coriander (dhania)
2 tsp cumin seeds (jeera)
a pinch asafoetida (hing)
salt and sugar to taste
2 tsp oil","A quick and nutrient rich breakfast option, dahi sabudana is prepared by soaking the sabudana or sago pearls in curd and then relishing it with sugar and crushed nut powder."
67,Dalimbi Bhaat,45,"1 cup rice (chawal)
sprouted vaal (field beans/ butter beans) , peeled
2 tbsp oil
1 tsp cumin seeds (jeera)
1/2 tsp asafoetida (hing)
1 tsp green chilli paste
1 tsp turmeric powder (haldi)
2 tsp coriander-cumin seeds (dhania-jeera) powder
2 tbsp goda masala
hot boiling water
scraped fresh coconut
1 tbsp lemon juice
1 tbsp sugar
salt to taste

For The Garnish
fresh scraped coconut
fresh chopped coriander (dhania) leaves
home made ghee","Dalimbi Bhaat or Field beans Rice is a traditional Maharashtrian delicacy and is cooked on special occasions. Though this recipe is not as popular as Masale Bhaat, it is still cooked in many Maharashtrian homes."
68,"Dalimbi Usal, Val Usal, Maharashtrian Vaal",40,"2 cups sprouted and peeled vaal(field beans/ butter beans)
6 dried kokum
1 tbsp oil
1 tsp cumin seeds (jeera)
1/4 tsp asafoetida (hing)
5 curry leaves (kadi patta)
1 tsp grated ginger (adrak)
1 cup finely chopped onions
1/2 tsp turmeric powder (haldi)
1 tbsp roughly chopped jaggery (gur)
2 tsp chilli powder
1/4 cup chopped coriander (dhania)
salt to taste","Here is a tongue-tickler from the Marathi culinary files! Dalimbi Usal, a traditional accompaniment to rice and rotis is made by cooking field beans with a traditional tempering, tangy kokum and everyday spices.


Jaggery creates a nice sweet and sour effect, while other ingredients like ginger, onions and coriander add their peppy touch to this Maharashtrian vaal preparation. You will notice that this dish uses a lot of coriander, and not just a sprinkling of it. This is essential to improve the aroma and flavour of the vaal usal.


Serve along with Chawal Bhakri , Methiche Varan , Dodkyacha Bhaat and Shrikhand for a lip smacking and delicious meal."
69,"Dal Vada, South Indian Chana Dal Vada, Masala Vada",30,"For Dal Vada
1 cup chana dal (split bengal gram)
1/2 cup chopped onions
1/2 tsp ginger (adrak) paste
2 tbsp chopped coriander (dhania)
1 tbsp chopped curry leaves (kadi patta)
2 tsp chilli powder
1/2 tsp asafoetida (hing)
1/4 tsp turmeric powder (haldi)
salt to taste
oil for deep-frying

For Serving With Dal Vada
green chutney","dal vada recipe | chana dal vada | South Indian dal vada | paruppu vadai | with 25 amazing images

You will love the exciting crispness of these delectable dal vadas. Made with a coarse paste of soaked chana dal perked up with onions, ginger paste and the whole traditional team of flavour enhancers and deep fried, these South Indian dal vadas have a unique, rustic texture and warm, hearty flavour that will strike a chord with most people.

I would like to share some important tips to make chana dal vada. 1. Blend the chana dal to a coarse mixture without using any water. If required, once in between you can scrape the sides of the mixer jar and grind the mixture again. Try not to add water, as you will face difficulty in shaping the dal vada at a later stage. But if it is getting too problematic to grind, then add 1-2 tbsp of water. 2. Mix everything well and our paruppu vadai mixture is ready. Mixture should not be very moist or dry. If the mixture is too crumbly or too pasty then it would be difficult to make vadas from this mixture. If the mixture has turned crumbly, then grind it once again and if the mixture has turned pasty then add 1-2 tbsp of rice flour or besan to bind together all the ingredients. At this stage, you can taste the mixture and make the necessary changes in the flavour as per your liking. 3. Take care to deep-fry these South Indian dal vadas on a medium flame. Otherwise, they will quickly turn brown outside before they get cooked inside.

These deep fried dal vadas are sure to satiate you in a tasteful way, have them for Evening Tea Snacks accompained with Green Chutney or Tomato Coconut Chutney.

Enjoy dal vada recipe | chana dal vada | South Indian dal vada | paruppu vadai | with step by step photos below."
70,"Danyachi Usal, Maharashtrian Peanut Curry",20,"1 cup raw peanuts
1 tbsp oil
1/2 tsp cumin seeds (jeera)
salt to taste

To Be Ground To A Smooth Mixture (using 1/2 Cup Of Water)
3/4 cup grated coconut
1 tbsp roughly chopped green chillies
1 tsp roughly chopped ginger (adrak)

For The Garnish
2 tbsp chopped coriander (dhania)","A tongue-tickling and scrumptious preparation of cooked peanuts perked up with a traditional tempering and a flavourful coconut paste, the Danyachi Usal can be served with meals or separately as a tea-time snack.


Ready within 10 minutes, this satiating dish is also easy to prepare. Just make sure you serve it immediately, before the flavours of cumin, green chillies and ginger sober down.


This dish tastes absolutely delicious when served along with both rice and rotis ."
71,Dashmi Roti ( Savoury),20,"1 cup whole wheat flour (gehun ka atta)
1/4 cup besan (bengal gram flour)
1 tbsp oil
1/4 tsp asafoetida (hing)
1/4 tsp turmeric powder (haldi)
1/2 tsp chilli powder
1/2 tsp coriander-cumin seeds (dhania-jeera) powder
salt to taste
whole wheat flour (gehun ka atta) for rolling
oil for cooking

For Serving
sesame seeds (til) chutney
achaar
curd (dahi)","An all-time favourite Maharashtrian bread, the Dashmi Roti (Savoury) is made with a dough of whole wheat flour and besan flavoured with a variety of spice powders. It is easy to prepare since it makes use of readily-available spice powders, but is super tasty too! You can also serve this conveniently with til chutney, achaar and curds, without preparing any elaborate side dishes, which makes it a popular choice to prepare for dinner after a busy day at work. Another good thing is that the Dashmi Roti will stay fresh for three days, so you can carry it along when you travel also."
